V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
23;440;FORTALEZA;65;MESSEJANA;9;50;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA VICENTE LOPES"" - ""AVENI"
23;440;FORTALEZA;65;MESSEJANA;9;50;2;2;"DA OLIVEIRA PAIVA"" - ""RUA CHICO LEMOS"" - ""RUA HENRIQUE JUSTA"" - ""RUA CICERO"" - """
23;440;FORTALEZA;65;MESSEJANA;9;50;2;3;"RUA ESCRIVAO AZEVEDO"" - ""RUA JOAO MACIEL"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;51;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA GENERAL CASTELO BRANCO"" DAI ATE A ""RUA FERNA"
23;440;FORTALEZA;65;MESSEJANA;9;51;2;2;"NDES BENEVIDES"" DAI ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI ATE A """
23;440;FORTALEZA;65;MESSEJANA;9;51;2;3;"AVENIDA JOSE LEON"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;51;2;4;NaN
23;440;FORTALEZA;65;MESSEJANA;9;52;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA MANOEL MONTEIRO"" (RUA NOVA JERUZALEM) DAI AT"
23;440;FORTALEZA;65;MESSEJANA;9;52;2;2;"E A ""RUA FERNANDES BENEVIDES"" DAI ATE A ""RUA GENERAL CASTELO BRANCO DAI ATE A ""A"
23;440;FORTALEZA;65;MESSEJANA;9;52;2;3;"VENIDA OLIVEIRA PAIVA"" DAI ATE A ""RUA VICENTE LOPES"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;52;2;4;NaN
23;440;FORTALEZA;65;MESSEJANA;9;53;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA DOUTOR JOSE FURTADO"" DAI ATE A ""AVENIDA VIEN"
23;440;FORTALEZA;65;MESSEJANA;9;53;2;2;"A WEINE"" OU (JOAQUIM FROTA) DAI ATE A ""AVENIDA DEPUTADO JOAQUIM DE FIGUEREDO COR"
23;440;FORTALEZA;65;MESSEJANA;9;53;2;3;"REIA"" OU ""RUA MONSENHOR ANTERO"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;54;2;1;": DO PONTO INICIAL SEGUE ATE A ""AVENIDA DEPUTADO JOAQUIM FIGUEREDO CORREIA"" (RUA"
23;440;FORTALEZA;65;MESSEJANA;9;54;2;2;" MONSENHOR ANTERO) DAI EM UMA +RETA+ ATE A ""RUA CHICO LEMOS"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;54;2;3;NaN
23;440;FORTALEZA;65;MESSEJANA;9;55;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA CHICO LEMOS"" DAI SEGUE EM UMA +RETA+ ATE A """
23;440;FORTALEZA;65;MESSEJANA;9;55;2;2;"AVENIDA DEPUTADO JOAQUIM FIGUEREDO CORREIA"" (RUA MONSENHOR ANTERO) - :ESTRADA DO"
23;440;FORTALEZA;65;MESSEJANA;9;55;2;3;" SITIO CANABEBAI"" - ""AVENIDA DESEMBARGADOR GONZAGA"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;55;2;4;NaN
23;440;FORTALEZA;65;MESSEJANA;9;56;2;1;": DO PONTO INICIAL SEGUE ATE A ""AVENIDA DESEMBARGADOR GONZAGA"" DAI ATE A ""RUA EN"
23;440;FORTALEZA;65;MESSEJANA;9;56;2;2;"FERMEIRO JOAQUIM PINTO"" DAI ATE A ""BR 116"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;57;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA ESCRIVAO AZEVEDO"" - ""RUA CICERO"" - ""RUA HENRI"
23;440;FORTALEZA;65;MESSEJANA;9;57;2;2;"QUE JUSTA"" - ""RUA CHICO LEMOS"" - ""AVENIDA OLIVEIRA PAIVA"" - ""BR-116"" ATE O PONTO"
23;440;FORTALEZA;65;MESSEJANA;9;57;2;3; INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;58;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA TENENTE NICOLAU"" - ""RUA TEODOFREDO GOIANO"" -"
23;440;FORTALEZA;65;MESSEJANA;9;58;2;2;"RUA MONSENHOR HIPOLITO OU RUA DA AMIZADE - ""RUA DESEMBARGADOR GONZAGA"" - ""RUA"
23;440;FORTALEZA;65;MESSEJANA;9;58;2;3;"MARGARIDA QUEIROZ"" - ""RUA MELO CESAR"" - ""RUA ESCRIVAO AZEVEDO"" - ""BR-116"" ATE O"
23;440;FORTALEZA;65;MESSEJANA;9;58;2;4;PONTO INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;59;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA JOAO MACIEL"" - ""RUA ESC"
23;440;FORTALEZA;65;MESSEJANA;9;59;2;2;"RIVAO AZEVEDO"" - ""RUA MELO CESAR"" - ""RUA MARGARIDA QUEIROZ"" - ""RUA DESEMBARGADOR"
23;440;FORTALEZA;65;MESSEJANA;9;59;2;3;" GONZAGA"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;60;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" ATE ""RUA FREI CANECA"" ATE ""AVE"
23;440;FORTALEZA;65;MESSEJANA;9;60;2;2;"NIDA DESEMBARGADOR GONZAGA"" - ""RUA MONSENHOR HIPOLITO"" OU ""RUA DA AMIZADE"" - ""RU"
23;440;FORTALEZA;65;MESSEJANA;9;60;2;3;"A TEODOFREDO GOIANO"" - ""RUA TENENTE NICOLAU"" - ""RUA TEOFREDO GOIANA"" - ""RUA CAMP"
23;440;FORTALEZA;65;MESSEJANA;9;60;2;4;"OS GERAIS"" - ""RUA MELO CESAR"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;61;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA MELO CESAR"" - ""RUA CAMP"
23;440;FORTALEZA;65;MESSEJANA;9;61;2;2;"OS GERMS"" - ""RUA TEODOFREDO GOIANA"" - ""RUA TENENTE NICOLAU"" - ""BR-116"" ATE O PON"
23;440;FORTALEZA;65;MESSEJANA;9;61;2;3;TO INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;62;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA PADRE FRANCISCO PITA"" - ""RUA DESEMBARGADOR FA"
23;440;FORTALEZA;65;MESSEJANA;9;62;2;2;"USTINO ALBUQUERQUE"" - ""AVENIDA JOSE LEON"" - ""RUA FREI CANECA"" - ""AVENIDA JOSE LE"
23;440;FORTALEZA;65;MESSEJANA;9;62;2;3;"ON"" - ""RODOVIA BR-116"" - ""AV PLACIDO CASTELO"" - ""RUA RADIAL LESTE"" OU ""AVENIDA U"
23;440;FORTALEZA;65;MESSEJANA;9;62;2;4;"M"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;63;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA TANGARA"" PASSANDO PELAS +SALINAS SAO GERALDO+"
23;440;FORTALEZA;65;MESSEJANA;9;63;2;2;" INCLUSIVE ""RUA FRANCISCO CHAGAS MENDES"" - ""ANTONIO ROCHA BARROS"" - ""RUA AMADOR"
23;440;FORTALEZA;65;MESSEJANA;9;63;2;3;"BUENO"" - ""RUA ARNALDO OSORIO"" - ""RUA PADRE FRANCISCO PITA"" - ""RUA RADIAL LESTE"""
23;440;FORTALEZA;65;MESSEJANA;9;63;2;4;"OU ""AVENIDA UM"" - ""AVENIDA PLACIDO CASTELO"" - ""RODOVIA BR-116"" - ""RIO COCO"" ATE"
23;440;FORTALEZA;65;MESSEJANA;9;63;2;5;PONTO INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;64;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA STENIO GOMES"""
23;440;FORTALEZA;65;MESSEJANA;9;64;2;2;"- ""RUA PADRE FRANCISCO PITA"" - ""RUA ARNALDO OSORIO"" - ""RUA AMADOR BUENO"" ATE PON"
23;440;FORTALEZA;65;MESSEJANA;9;64;2;3;TO INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;65;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA ATAULFO ALVES"""
23;440;FORTALEZA;65;MESSEJANA;9;65;2;2;" - ""AVENIDA JOSE LEON"" - ""RUA DESEMBARGADOR FAUSTINO ALBUQUERQUE"" - ""RUA PADRE F"
23;440;FORTALEZA;65;MESSEJANA;9;65;2;3;"RANCISCO PITA"" - ""RUA STENIO GOMES"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;66;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA CARLOS JEREISS"
23;440;FORTALEZA;65;MESSEJANA;9;66;2;2;"SATI"" -""RUA CLEITOM HELAIDE PIMENTA"" - ""RUA MONSENHOR VITAL GURGEL"" - ""AVENIDA J"
23;440;FORTALEZA;65;MESSEJANA;9;66;2;3;"OSE LEON"" - ""RUA ATAULFO ALVES"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;67;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA PADRE FRANCISC"
23;440;FORTALEZA;65;MESSEJANA;9;67;2;2;"O PITA"" - ""RUA VICENTE LOPES"" - ""RUA VEREADOR PEDRO LUCIANO PEREIRA"" - ""RUA SEM"
23;440;FORTALEZA;65;MESSEJANA;9;67;2;3;"DENOMINACAO"" - ""RUA VICENTE LOPES"" - ""AVENIDA JOSE LEON"" - ""RUA MONSENHOR VITAL"
23;440;FORTALEZA;65;MESSEJANA;9;67;2;4;"GURGEL"" - ""RUA CLEITON HELAIDE PIMENTA"" - ""RUA CARLOS JEREISSATI"" ATE PONTO INIC"
23;440;FORTALEZA;65;MESSEJANA;9;67;2;5;IAL
23;440;FORTALEZA;65;MESSEJANA;9;68;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA EFESIOS"" DAI ATE A ""RUA FILADELFIA"" DAI ATE"
23;440;FORTALEZA;65;MESSEJANA;9;68;2;2;"A ""RUA NATANAEL CORTES"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;69;2;1;": DO PONTO INICIAL SEGUE ATE A ""AVENIDA WASHINGTON SOARES"" DAI ATE A ""RUA LUIZA"
23;440;FORTALEZA;65;MESSEJANA;9;69;2;2;"MIRANDA COELHO"" DAI ATE A ""RUA EFESIOS"" DAI ATE A ""RUA GERALDO MAGALHAES"" DAI AT"
23;440;FORTALEZA;65;MESSEJANA;9;69;2;3;"E A ""RUA CORONEL MIGUEL DIAS"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;70;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA EFESIOS"" DAI ATE A ""RUA LUIZA MIRANDA COELHO"
23;440;FORTALEZA;65;MESSEJANA;9;70;2;2;" DAI ATE A AVENIDA WASHINGTON SOARES"" DAI ATE A ""RUA VERIADOR PEDRO PAULO"" OU"
23;440;FORTALEZA;65;MESSEJANA;9;70;2;3;"LUCIANO PEREIRA DAI ATE A ""RUA VICENTE LOPES"" DAI ATE A ""RUA FRANCISCO PITA"" D"
23;440;FORTALEZA;65;MESSEJANA;9;70;2;4;"AI ATE A ""RUA ANTONIO ROCHA BARROS"" DAI ATE A ""RUA PIDORAMA"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;71;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA IVO REBOUCAS"" DAI ATE A ""RUA DORALICE COSTA"""
23;440;FORTALEZA;65;MESSEJANA;9;71;2;2;" DAI ATE A ""RUA T"" DAI ATE A ""AVENIDA WE 1"" DAI ATE A ""RUA PINDORAMA"" DAI ATE A"
23;440;FORTALEZA;65;MESSEJANA;9;71;2;3;"RUA ANTONIO ROCHA BARROS DAI ATE A ""RUA FRANCISCO CHAGAS MENDES"" DAI ATE A ""RU"
23;440;FORTALEZA;65;MESSEJANA;9;71;2;4;"A JULIA SALES"" DAI ATE A ""ESTRADA SANTA LUZIA"" DAI ATE A ""RUA ESMERRINDA MENDES"""
23;440;FORTALEZA;65;MESSEJANA;9;71;2;5;" DAI ATE A ""RUA PINORAMA"" DAI ATE A ""AVENIDA ROGACIANO LEITE"" ATE O PONTO INICIA"
23;440;FORTALEZA;65;MESSEJANA;9;71;2;6;L
23;440;FORTALEZA;65;MESSEJANA;9;72;2;1;": DO PONTO INICIAL ATE A ""RUA T"" DAI ATE A ""RUA DORALICE COSTA"" DAI ATE A ""RUA J"
23;440;FORTALEZA;65;MESSEJANA;9;72;2;2;"AIME LEONEL"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;73;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA CORONEL MIGUEL DIAS"" DAI ATE A ""RUA GERALDO"
23;440;FORTALEZA;65;MESSEJANA;9;73;2;2;"MAGALHAES"" DAI ATE A ""RUA EFESIOS"" DAI ATE A ""RUA MARIANA FURTADO LEITE"" DAI ATE"
23;440;FORTALEZA;65;MESSEJANA;9;73;2;3;" A ""RUA NATANAEL CORTEZ"" DAI ATE A ""RUA FILADELFIA"" DAI ATE A ""RUA PINDORAMA"" DA"
23;440;FORTALEZA;65;MESSEJANA;9;73;2;4;"I ATE A ""AVENIDA WE 1"" DAI ATE A ""RUA T"" DAI ATE A ""RUA DOUTOR THOMPSON BULCAO"""
23;440;FORTALEZA;65;MESSEJANA;9;73;2;5;"DAI ATE A ""AVENIDA ROGACIANO LEITE"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;74;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA JOSIAS MENDES"" ATE ""RUA DORALICE COSTA"" - ""RU"
23;440;FORTALEZA;65;MESSEJANA;9;74;2;2;"A IVO REBOUCAS"" - ""RUA DOUTOR AFONSO DE SOUSA"" - ""AVENIDA ROGACIANO LEITE"" ATE P"
23;440;FORTALEZA;65;MESSEJANA;9;74;2;3;ONTO INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;75;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA MURILO BORGES"" ATE A ""RUA DR. THOMPSON BU"
23;440;FORTALEZA;65;MESSEJANA;9;75;2;2;"LCAO"" - ATE A""RUA JAIME LEONEL"" - ""RUA JOSIAS MENDES"" - ""AVENIDA ROGACIANO LEITE"
23;440;FORTALEZA;65;MESSEJANA;9;75;2;3;" - RUA PINDORAMA"" - ""ESMERINDA MENDES"" - ""ESTRADA SANTA LUZIA"" - ""RUA JULIA SA"
23;440;FORTALEZA;65;MESSEJANA;9;75;2;4;"LES"" OU ""RUA AUGUSTO MACIEL"" - ""RUA SAO FRANCISCO"" - ""RUA TANGARA"" ATE ""RIO COCO"
23;440;FORTALEZA;65;MESSEJANA;9;75;2;5;" PASSANDO PELAS +SALINAS SAO GERALDO+ EXCLUSIVE PELO RIO COCO"" ATE PONTO INICI"
23;440;FORTALEZA;65;MESSEJANA;9;75;2;6;AL
23;440;FORTALEZA;65;MESSEJANA;9;76;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA WASHINGTON SOARES"" ATE ""RUA ALBERT SABIN"""
23;440;FORTALEZA;65;MESSEJANA;9;76;2;2;"- ATE A ""RUA SAMMYA KARLA"" ATE A - ""AVENIDA ROGACIANO LEITE"" - ""AVENIDA CORONEL"
23;440;FORTALEZA;65;MESSEJANA;9;76;2;3;"MURILO BORGES"" ATE ""RIO COCO"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;77;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA CORONEL MIGUEL DIAS"" DAI ATE A ""RUA WALTER B"
23;440;FORTALEZA;65;MESSEJANA;9;77;2;2;"EZERRA DE SA"" DAI ATE A ""AVENIDA ROGACIANO LEITE"" DAI ATE A ""RUA SAMMYA KARIA"" D"
23;440;FORTALEZA;65;MESSEJANA;9;77;2;3;"AI ATE A ""RUA ALBERT SABIN"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;78;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA WALTER BEZERRA DE SA"" DAI ATE A ""RUA CORONEL"
23;440;FORTALEZA;65;MESSEJANA;9;78;2;2;" MIGUEL DIAS"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;79;2;1;": DO PONTO INICIAL SEGUE PELO ""RIACHO AGUA FRIA"" ATE CONFRONTACAO COM ""AVENIDA 4"
23;440;FORTALEZA;65;MESSEJANA;9;79;2;2;" INDO POR ESTA ATE AVENIDA B"" - ""AVENIDA A"" ATE CONFRONTACAO COM A ""RUA 13"" DA"
23;440;FORTALEZA;65;MESSEJANA;9;79;2;3;"I EM RETA ATE A MARGEM DO ""RIACHO AGUA FRIA"" POR ESTE ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;79;2;4;NaN
23;440;FORTALEZA;65;MESSEJANA;9;80;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA E"" ATE ""AVENIDA C"" DESCE PELA MARGEM DIREITA"
23;440;FORTALEZA;65;MESSEJANA;9;80;2;2;"DO ""RIACHO AGUA FRIA"" INDO POR ESTE ATE CONFRONTACAO DA ""RUA X"" INDO ATE ESTA AT"
23;440;FORTALEZA;65;MESSEJANA;9;80;2;3;"E ""RUA F"" INDO ATE SEU FINAL CONTORNA OS BLOCOS DE APARTAMENTO ATE ""RUA G"" POR E"
23;440;FORTALEZA;65;MESSEJANA;9;80;2;4;"STA ATE ""RUA A"" - ""TRAVESSA CANTANEIDE"" - ""TRAVESSA FRAMBOESA"" - ""RUA UBAITABA"""
23;440;FORTALEZA;65;MESSEJANA;9;80;2;5;"- ""RUA C"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;81;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA UBAITABA"" ATE ""AVENIDA PRESIDENTE ARTUR BERNA"
23;440;FORTALEZA;65;MESSEJANA;9;81;2;2;"RDES"" - ""RUA X"" ATE SEU FINAL DESTE PONTO EM RETA ATE ""RIACHO AGUA FRIA"" SEGUIND"
23;440;FORTALEZA;65;MESSEJANA;9;81;2;3;"O SUAS AGUAS ATE ""AVENIDA WASHINGTON SOARES"" POR ESTA ATE ""RUA DO CORREGO"" ATE P"
23;440;FORTALEZA;65;MESSEJANA;9;81;2;4;ONTO INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;82;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA UBAITABA"" ATE ""TRAVESSA FRAMBOESA"" - ""TRAVESS"
23;440;FORTALEZA;65;MESSEJANA;9;82;2;2;"A CANTANEIDE"" ATE ""RUA A"" - ""RUA G"" ATE SEU FINAL CONTORNA OS BLOCOS DE APARTAME"
23;440;FORTALEZA;65;MESSEJANA;9;82;2;3;"NTOS INDO ATE ""RUA F"" ATE A ""RUA X"" - ""AV PRESIDENTE ARTUR BERNARDES"" ATE PONTO"
23;440;FORTALEZA;65;MESSEJANA;9;82;2;4;INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;83;2;1;": DO PONTO INICIAL SEGUE PELA ""ESTRADA PARA O DENDE"" DAI SEGUE PELO ""MURO DA UNI"
23;440;FORTALEZA;65;MESSEJANA;9;83;2;2;"FOR "" - ""RUA DO JUA"" - ""RUA CORVINA"" - ""VIA DO CONTORNO"" - RUA DO COMERCIO"" - ""R"
23;440;FORTALEZA;65;MESSEJANA;9;83;2;3;"UA OTAVIO ROCHA"" - ""RUA UBAITABA"" - ""RUA DO CORREGO"" - ""AVENIDA WASHINGTON SOARE"
23;440;FORTALEZA;65;MESSEJANA;9;83;2;4;"S"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;84;2;1;": DO PONTO INICIAL SEGUE ""RUA ROBERTO SILVA"" - ""RUA DO COMERCIO"" - ATE A ""RUA C"""
23;440;FORTALEZA;65;MESSEJANA;9;84;2;2;" - ""RUA UBAITABA"" - ""RUA OTAVIO ROCHA"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;85;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA DO COMERCIO"" - ""RUA C"" - ""RUA ROBERTO SILVA"""
23;440;FORTALEZA;65;MESSEJANA;9;85;2;2;"- ""RUA OTAVIO ROCHA"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;86;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA DO GELO"" - ""RUA DO COMERCIO"" - ""VIA DO CONTOR"
23;440;FORTALEZA;65;MESSEJANA;9;86;2;2;"NO"" - ""RUA CORVINA"" - ""RUA DO JUA"" - ""MURO DA UNIFOR"" - ""ESTRADA PARA O DENDE"" A"
23;440;FORTALEZA;65;MESSEJANA;9;86;2;3;TE O PONTO INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;87;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA DEPUTADO JOSE MARTINS RODRIGUES"" ATE ""RIO"
23;440;FORTALEZA;65;MESSEJANA;9;87;2;2;" COCO"" VAI POR ESTE ATE UMA ""ESTRADA"" QUE LIGA ""RIO COCO"" COM ""RUA DO GELO"" DAI"
23;440;FORTALEZA;65;MESSEJANA;9;87;2;3;"VAI PELA ""ESTRADA PARA O DENDE"" CRUZANDO O ""CAMPUS DA UNIFOR"" INDO ATE ""AVENIDA"
23;440;FORTALEZA;65;MESSEJANA;9;87;2;4;"WASHINGTON SOARES"" ENTRE UNIFOR E CENTRO CONVENCOES ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;87;2;5;NaN
23;440;FORTALEZA;65;MESSEJANA;9;88;2;1;": DO PONTO INICIAL SEGUE PELO ""RIO COCO"" ATE CONFRONTACAO COM ""AVENIDA DEPUTADO"
23;440;FORTALEZA;65;MESSEJANA;9;88;2;2;"MARTINS RODRIGUES"" INDO POR ESTA ATE ""AVENIDA WASHINGTON SOARES"" ATE ""AVENIDA EN"
23;440;FORTALEZA;65;MESSEJANA;9;88;2;3;"GENHEIRO SANTANA JUNIOR"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;89;2;1;": DO PONTO INICIAL SEGUE PELO ""RIO COCO"" ATE ESTRADA QUE LIGA ""RIO COCO"" A ""RUA"
23;440;FORTALEZA;65;MESSEJANA;9;89;2;2;"DOUTOR MONTEIRO"" - ""RUA ROSA CORDEIRO"" - ""RUA E"" - ATE ""RUA DO GELO"" - ""ESTRADA"
23;440;FORTALEZA;65;MESSEJANA;9;89;2;3;"QUE LIGA RUA DO GELO AO RIO COCO"" POR ESTA ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;90;2;1;": DO PONTO INICIAL SEGUE PELO ""RIO COCO"" ATE O ""RIACHO MIRIU"" POR ESTE ATE ""RIAC"
23;440;FORTALEZA;65;MESSEJANA;9;90;2;2;"HO AGUA FRIA"" POR ESTE ATE ""AVENIDA C"" POR ESTA ATE ""AVENIDA ROSA CORDEIRO"" ATE"
23;440;FORTALEZA;65;MESSEJANA;9;90;2;3;RUA DOUTOR MONTEIRO ATE PONTO INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;91;2;1;": DO PONTO INICIAL SEGUE PELO ""RIO COCO"" ATE SUA BARRA NO ""OCEANO ATLANTICO"" IND"
23;440;FORTALEZA;65;MESSEJANA;9;91;2;2;"O POR SUA MARGEM ATE ENCONTRAR ""ESTRADA DA SABIAGUABA"" POR ESTA ATE ""RIACHO SEM"
23;440;FORTALEZA;65;MESSEJANA;9;91;2;3;"DENOMINACAO"" QUE VEM DE UMA LAGOA FORMADA PELAS AGUAS DO ""RIO COCO"" SEGUE POR ES"
23;440;FORTALEZA;65;MESSEJANA;9;91;2;4;"TE RIACHO CONTORNANDO AS AGUAS DA LAGOA(INCLUSIVE) ATE ""RIACHO MIRIU"" ATE PONTO"
23;440;FORTALEZA;65;MESSEJANA;9;91;2;5;INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;92;2;1;": DO PONTO INICIAL SEGUE PELO ""RIACHO MIRIU"" POR ESTE ATE UMA ""RIACHO SEMDENOMIN"
23;440;FORTALEZA;65;MESSEJANA;9;92;2;2;"ACAO"" DESCENDO POR ESTE CONTORNANDO AS AGUAS DA LAGOA ATE ""ESTRADA SABIAGUABA"" P"
23;440;FORTALEZA;65;MESSEJANA;9;92;2;3;"OR ESTA ATE ""RUA ANTONIO NOGUEIRA"" OU ""FRANCISCO MATIAS"" SEGUE PELA ""RUA ANTONIO"
23;440;FORTALEZA;65;MESSEJANA;9;92;2;4;" NOGUEIRA"" DEPOIS POR UM CAMINHO QUE LIGA A ""RUA DOIS"" ATE ""RLO MIRIU"" POR ESTE"
23;440;FORTALEZA;65;MESSEJANA;9;92;2;5;"ATE ""PONTO INICIAL"
